快捷键		功能
x 			删除后面的字符 
X 			删除前一个字符  
nx			删除n个字符，如删除3个字符就是3x  
dd			删除一行   
D 			删除到行尾
J			删除换行符，使下一行并上来
u			撤销上一次操作
u 			撤销当前行的所有修改
ctrl+r		对撤消的撤消
i 			在光标前插入
a 			在光标后插入
I 			在行首插入
A 			在行末插入
o			在当前行的下面另起一行，并变为插入模式
O 			在当前行上面另起一行，变为插入模式
:e!			放弃更改，然后相当于重新打开
:help		帮助，可用ZZ退出帮助窗口


$			移动到行尾
3$			移动到3行后的行尾
^			移动到行首
0			移动到行首
+			移到下一行的行首
-			移到上一行的行首
%			跳到相对应的括号上，编程时常用
nG			跳转到第n行   此时按``可以返回到原来行
gg			跳转到文件头   
G 			跳转到文件尾
30%			跳转到文件的30%处
H 			意为Home，跳转到屏幕最上面的位置
M 		 	意为Middle, 跳转到屏幕的中间位置
L 			意为Last，跳转到屏幕最下面的位置
Ctrl+G 		显示当前位置
:set number 	设置显示行号
:set nonumber 	关闭行号显示
:set ruler 		设置在窗口右下角显示行号
ctrl+u 	  	向上滚动半屏，u是upper的意思
ctrl+d 		向下滚动半屏，d是down的意思
ctrl+b  	向上滚动一屏，b是backword的意思
ctrl+f  	向下滚动一屏，f是forward的意思
zz 			将当前行滚动于屏幕中间，方便查看上下文  
zt 			将当前行置顶
zb 			将当前行置底
